,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
area_0,,,,,,,,,,,,,,,,,,,,,,,
Resto 1a Seccion,120.6957443051386,125.56614590798338,123.1806564433683,100.0,100.0,100.0,35.578315380540346,36.77798480722373,43.98036050578423,37.474836659014656,29.60441450480149,30.97928436911488,16.062157866855024,15.002866561559408,12.772397094430993,8.935193360409677,5.650709473985954,4.576943771859026,6.675505231474846,6.339117567931127,1.4189479719076967,2.2666128598331987,1.5468832774147978
Resto 2a Seccion,126.50571664734305,133.87193734514668,128.8873498308516,100.0,100.0,100.0,36.558250999927886,39.50424459663691,47.75312325191125,32.33830569778601,25.19228500317432,28.04613622439466,17.88109595424463,16.12609626329421,11.206947071202153,12.060156549042231,8.681899646611345,7.7387389787166025,5.353079650094668,4.550757838097014,2.118646448415931,2.892304413840867,2.46195836083944
Resto 3a Seccion,124.65996386250013,136.1024583994349,127.93893289305942,100.0,100.0,100.0,36.893505226635334,41.03894299246152,47.697966519676484,33.260910531975036,30.873003925564806,31.731070659783907,16.79950338650497,12.66139398080063,9.517440280883612,9.719435545554312,6.236900309181652,3.740935024765408,4.6562525330893845,4.2749064766243805,3.090658545340853,3.8381157390959055,3.055059804236734
Resto 4a Seccion,124.29143391761373,135.70650728960663,129.09286393648256,100.0,100.0,100.0,41.35652568724031,43.263441976333816,50.81050904930596,31.576249965603587,23.9007316922158,25.226060347085337,15.132013428359153,15.62303100495686,11.153803741023061,10.524958036377646,6.092457633600297,4.554978152094504,7.680400919258911,6.744593160296083,1.6141662023025176,2.467710587619061,1.8333287471450979
Resto 5a Seccion,126.68985272950302,140.96233274329546,131.87033730570664,100.0,100.0,100.0,39.55138159154241,43.2349302422962,50.12283907043697,29.69340508958896,24.06022193037553,24.599648438040663,16.261087830507755,15.626867660214316,11.669365665960775,11.300901207518807,6.720341079959649,5.625337374911763,6.328251394202403,5.285194258744066,1.9855726222425245,2.9889687054492105,2.28492622294073
Resto 6a Seccion,126.94111221248963,140.19770708112375,132.10890233362142,100.0,100.0,100.0,41.27404770092853,43.94948156905725,50.216479939256374,28.88960815649465,22.801037293371937,23.4440504365948,13.650800072825845,13.59182246922423,11.280381909385374,12.493273724030505,10.369481827949102,7.62162860766242,5.206315235354272,4.841315357959273,2.0952980923985036,2.845741888060485,2.0120162644387354
Resto 7a Seccion,124.0151304444568,136.0472446564295,128.8592922819727,100.0,100.0,100.0,40.45502586638482,45.4081571967219,50.8921705210365,28.71001835678923,22.11887288427914,22.30593480078016,14.389497691494688,12.295267208259489,8.902758428531625,14.25933136785893,6.387306269551461,5.327389244915018,9.442984073364814,10.931178601281694,1.348827804408074,2.2401783226525493,1.8790676976136174
almirante brown,130.954298055077,139.7086967842729,131.49391791033702,100.0,100.0,100.0,25.78396125134197,26.685001952870717,32.01443439088592,40.97664344743215,40.31311027209999,42.968427737533865,20.179200059920603,15.420192683244368,10.259278933327003,7.496005292986793,4.440828017185263,2.7485881658174396,6.273597187866163,5.7265715650808815,4.420648353079026,6.030156718787558,5.1843806955783585
avellaneda,132.24975802180543,138.0582706766917,131.94062260982707,100.0,100.0,100.0,31.974907317785856,32.81813909774436,38.224744388863,37.13360848841244,37.28853383458647,39.634891469665135,17.79726792921453,14.140037593984964,9.270134596956403,5.126285223807002,2.9525375939849625,1.9196110666654946,4.072838345864661,3.6778991973414685,4.038063909774436,5.717073856892929,5.15185273115766
azul,135.30016292768516,138.89353537341336,133.70056029693373,100.0,100.0,100.0,30.886075949367086,43.5722719669389,50.39599044894678,28.868279232986588,23.70855062481551,26.019527648407763,13.909011154279986,15.320279445045754,11.023901274261803,13.287379370848477,7.059923251008561,5.780278493581409,3.8472891862638985,3.7565899903070994,2.3615074289087867,3.685666327809168,2.6995864143376362
bahia blanca,132.14375908455725,138.75599443829628,134.1231244014047,100.0,100.0,100.0,41.784193010713466,46.17519366646803,52.47046929871235,22.08915352971878,20.028376039272437,20.371395126104076,15.592607765998642,11.853239124882949,8.686814940938598,10.07144179990684,4.85173519480151,3.6655315526231775,7.883998751454271,8.230286261572841,4.680343917595982,6.10088326061509,5.742843192825515
berazategui,129.65696619254632,133.6659939117539,131.01630637065054,100.0,100.0,100.0,25.06594774828008,26.977286158718123,33.562856481807486,41.308614358671335,40.791248982504655,42.937762174451,20.952918583547884,15.541196016993567,10.848615316520636,9.147216477440594,5.438164159632475,4.2828114154654005,4.4518905899800405,4.4925509762697535,4.174797337228622,5.9380941363458035,5.186658506731947
berisso,126.83733152496397,137.8685943315202,130.74667872878658,100.0,100.0,100.0,30.516232940578114,32.45598339536215,41.34626660635607,32.3472069170128,32.14643572860006,34.539545325090884,20.48317368822582,16.00164614944174,10.113752492000469,9.751631770789183,4.827512167191526,3.6387395084686136,7.162539364443172,5.791492854869243,4.668265101631834,6.136603508066543,5.397982537933372
campana,127.25002214152865,131.99283565949108,127.03046912784137,100.0,100.0,100.0,38.76361704012045,37.293433814335444,44.4462356924069,31.455141262952797,28.071035112027303,29.26809608254071,17.435125321052166,13.889358250819505,10.16766080928583,10.21167301390488,7.776012976918658,7.00145091084959,4.5030583623399005,4.012574560696438,3.9201108445135344,5.039497017572143,4.040386148259676
chivilcoy,120.03682044617716,130.8056330300398,125.03413154187885,100.0,100.0,100.0,24.39462854667533,28.521786841022355,33.63961425939972,37.416071041802034,16.82364775273193,17.711561382598333,25.878275936755468,11.604407663115541,10.84841261241738,7.673814165042235,5.374697087467423,5.270343482500812,33.7204517397467,30.761729331455197,1.7717525490375383,2.154079531910283,2.603422135585878
comuna 01,149.8763556568342,189.0492532366871,161.38036977112006,100.0,100.0,100.0,49.256023969278814,64.43225675401179,58.00716272474412,25.83955774992615,27.736617595176238,25.436762593851693,13.613537578596446,0.0,0.0,2.6940119002405365,1.4518318953996814,0.9389714036395368,0.0,0.0,4.667671616579535,6.276473903321396,5.687639785626873
comuna 02,135.12275780067068,168.73749605138465,152.67070045406692,100.0,100.0,100.0,63.49871343508189,80.00889169679314,74.96783249502866,12.713305032001559,14.350730640085175,13.40401322855411,8.380786058652498,0.0,0.0,1.4872133096766402,1.0693435353854432,0.8060485543232063,0.0,0.0,2.9354299018403474,4.350322738438307,3.5838032159478312
comuna 03,140.5186524634278,176.5913892568226,156.98964823627531,100.0,100.0,100.0,41.870988199199566,56.535779575483566,52.907815336309675,25.774079374737546,29.174283806417005,27.723102585487908,15.92122515790105,0.0,0.0,2.8169376194434683,1.3803899245766331,0.9645292645832311,0.0,0.0,5.7317380214775975,7.649511848108719,6.662267433390181
comuna 04,136.74941191036277,175.27328226118152,153.72758403560678,100.0,100.0,100.0,40.188188683917296,53.79324697977266,49.44752572606592,31.221369320292187,33.326065627384715,32.76375147714628,16.904481862077503,0.0,0.0,3.1911600841896743,1.716500004955254,1.0212795321435657,0.0,0.0,5.603401286383953,7.354247712040575,6.194286244892906
comuna 05,127.96651495448634,152.7353787152445,135.93410062367224,100.0,100.0,100.0,39.637516254876466,51.248322147651,47.32827683880931,24.001950585175553,26.882070949185042,24.923000793454428,14.407509752925879,0.0,0.0,2.1204486345903772,1.236816874400767,0.7806567755035876,0.0,0.0,5.461169702780441,7.443967613408526,6.580786736020807
comuna 06,125.59507119045395,152.5495042499599,133.6148578715089,100.0,100.0,100.0,44.67551484562421,58.64284299204724,52.64508863882887,19.887372651649688,23.32902519787549,20.681289382384843,13.245786210549273,0.0,0.0,1.8070224631585505,1.2631956302299034,0.7708804265924767,0.0,0.0,4.632031773285158,6.35251840259665,5.804280773904103
comuna 07,131.6109748620478,160.57425359023787,140.64994114896567,100.0,100.0,100.0,41.295984058859595,54.890747931635595,50.1031908547105,24.44895769466585,26.77390494286057,25.264023475919444,16.919834457388106,0.0,0.0,2.3574494175352543,1.4526974054363164,0.9351671208139178,0.0,0.0,4.823877733607578,6.465551990454846,5.843041079092581
comuna 08,132.51500115393492,183.3878017618183,154.29062482674502,100.0,100.0,100.0,34.9488422186322,53.06031874117409,46.918001885014135,34.44976536656666,38.66451482751664,36.83872040805012,20.36214324178783,0.0,0.0,3.4541118547580583,1.964898123865241,1.1210289959527637,0.0,0.0,5.382287673996369,6.773853745079558,4.947495961227786
comuna 09,132.423936841914,174.65358587847757,144.3399467912785,100.0,100.0,100.0,40.1642546310176,59.292014274290764,51.185415705408246,27.050230301708865,32.21621492594316,28.64533736489206,21.09145748730388,0.0,0.0,2.9435011310675643,1.6506140570732928,0.9640399359924605,0.0,0.0,4.857555468032033,6.195576411454601,5.658971773277734
comuna 10,132.88977442538962,161.25049085911252,137.3700356368713,100.0,100.0,100.0,43.0753219953035,57.49923644138052,50.49597707483743,23.65687041912759,26.757275622845672,24.143061831808662,18.552978011812424,0.0,0.0,2.4274176332455704,1.4965748941925914,0.8844924501267497,0.0,0.0,4.777695361926786,6.178588485984055,6.314488009677649
comuna 11,130.57456677091358,157.98294673145685,141.43647310284064,100.0,100.0,100.0,46.41858919155751,60.20262216924911,55.558093622020266,21.480910725347112,24.235811863940587,22.655778361533066,15.881037634652284,0.0,0.0,2.1982504645787064,1.296415146236362,0.8476235539819543,0.0,0.0,4.356835060053177,6.033709148460572,5.61271510371814
comuna 12,126.01468179336285,159.70262829391748,141.23177656912543,100.0,100.0,100.0,47.1320619897942,61.765762068434825,57.17025516549048,20.592260038962703,24.26084577369654,22.36181657451941,13.724578184931277,0.0,0.0,2.0991324394831037,1.3654474255715727,0.8330711256948502,0.0,0.0,4.629012124010329,6.261518406976221,5.645547264184648
comuna 13,131.4682731896343,169.5187913830085,142.53715789336562,100.0,100.0,100.0,58.1835795592153,76.66464608784855,66.50579024841403,14.919472027125211,18.125369144207156,15.42133989865437,9.808670380237345,0.0,0.0,1.565754419956406,1.2892847150983866,0.8838433180924095,0.0,0.0,3.832105443128478,5.263980616671226,4.461128602567207
comuna 14,133.71750201018494,168.8543952755277,149.04953713518478,100.0,100.0,100.0,58.11476560605481,74.2548182434859,67.78390219772454,15.93980931960026,18.47492119229081,16.577627022825244,9.327896261694171,0.0,0.0,1.6470753404551313,1.2066557599457324,0.8006501307328104,0.0,0.0,3.5617094289932565,5.188325913363013,4.377736085053159
comuna 15,136.70992668912226,166.2396066517429,146.0075146483092,100.0,100.0,100.0,41.748398388481604,54.1423488967061,49.26386224896433,25.443332672874973,29.40817876559002,26.648974837313993,14.767023314180042,0.0,0.0,2.307476388613698,1.4120962583946275,0.8854673007698574,0.0,0.0,5.8432603133994245,7.970081540064987,6.815104682649759
ensenada,125.72909915748542,135.0489368882889,127.32574884792626,100.0,100.0,100.0,24.395533177127472,27.49465631679604,33.638152841781874,37.54673712547984,41.66104173697829,44.27803379416282,18.320953188095118,13.49139385757678,8.753360215053764,10.327035246024229,5.273371582855215,3.6482334869431643,3.554955563055462,3.6770353302611367,5.278996512543594,5.882776497695852,6.393638765641358
escobar,127.20296044156798,139.06678865507777,133.26320187415132,100.0,100.0,100.0,29.486528897875697,31.276015265036307,37.18384887416626,34.47446697218341,33.11078690767621,37.74042407150425,20.478729633301846,17.013262118477122,11.43814256084277,8.91879864781519,5.402932667342548,5.46428518137189,4.412188950157843,3.9788411895489206,3.6654220551750285,4.713729352253906,4.443785180616603
esteban echeverria,130.1066163282348,142.79678553118418,134.89214820591036,100.0,100.0,100.0,27.55970337961411,29.186561494320323,34.58653945391787,38.50301971784603,38.09738531005046,40.61385502792335,18.75577039559186,14.716510287659132,9.589119640379344,7.459614581679398,5.423335165819399,3.4339414928385494,5.252234500565188,4.55144891804181,4.001408337605702,5.722280196782221,4.445777393574793
ezeiza,130.34287616511318,142.56439464385343,131.58117504786858,100.0,100.0,100.0,24.611628939192187,26.270457504184492,31.708152776378114,41.51242787394585,39.28886925795053,40.754812052806614,20.310696848646252,16.212572066207922,10.768920689307668,9.89236573457612,5.952436302771062,4.102589942557694,5.439836339966524,5.195001511639625,4.022921703552167,5.590043333669254,4.48069241011984
florencio varela,131.2353677288868,139.65868675935167,134.13601359716304,100.0,100.0,100.0,18.650806477680447,22.963202459104732,27.749543613739846,46.47647985075661,46.42825346397327,46.94294647166208,21.28703955965811,12.23741981434884,9.005602534779781,9.850895137121986,5.8075731803890145,4.9180603059361685,5.480036174330283,5.751935707241328,3.286615966374742,4.931909268313155,4.070022488097932
general pueyrredon,138.81609372591336,152.55904130997774,141.6233336603749,100.0,100.0,100.0,38.96459585838343,43.67163014901671,48.91510252752809,29.7232927393248,24.894010432010955,27.827211366958238,16.564410873028105,13.125029811758038,9.724454909774266,8.230049843276296,6.187658353044166,3.4218609670870412,4.900912730813153,4.342357164600016,3.5428994705431776,5.587379214748065,3.852320024664714
general rodriguez,124.29948865030096,137.29262564584312,131.98871007327935,100.0,100.0,100.0,29.245051606694716,28.747768905589478,35.91914729497564,34.005698435760515,32.28745890089243,36.969250727534096,20.799290525878824,16.610615312353218,11.04449353108236,10.738343679830933,7.3123532174729915,4.573822797237124,5.138562705495538,4.607131587251499,2.440582433067168,3.94621506959784,2.747325320301149
general san martin,132.47592163404093,142.65325291885023,137.13599366724011,100.0,100.0,100.0,31.52962781783042,33.73200555930993,40.06803014331004,32.198048068518084,30.011773156353467,33.788173884419294,21.905097957448856,17.0655514044908,11.668580341012849,6.547471069873373,3.68410538887543,2.3003280024766735,7.533544995133479,6.49617330443881,4.150356382368317,5.835073927917831,4.8986743867133935
hurlingham,128.31555379955222,135.1548855593345,129.68388392970678,100.0,100.0,100.0,28.107467404188068,33.4479271991911,38.2967540669532,35.35185916853242,33.85329533964519,37.060773293320786,23.799113218315114,14.802831142568252,10.368505378805219,6.182009745818517,3.8661641695008733,2.1396539592923207,5.593344976560346,4.904927816349194,4.397463002114165,6.102761035239864,4.651652838140392
ituzaingo,123.29237762113598,132.13063994289368,126.23540295693762,100.0,100.0,100.0,30.431810514728074,34.31106249246771,40.23983661784985,32.771967827275795,32.407828013609105,33.97336312381085,20.667246675307613,15.843291399753404,10.886906736022622,5.236057598409119,3.3596306631191535,3.0433416537206095,5.2081691681576725,4.477299307022291,4.1976842280914815,5.765504721674318,4.767315921237194
jose c. paz,128.20733662339293,140.84869903017386,133.0901808471902,100.0,100.0,100.0,18.779744129758274,22.3956998529749,27.469353076829712,45.55118976519033,44.59244371906066,48.03252821944411,21.43903435702386,14.446902356448197,9.625561354533318,9.803539433564895,6.046913147281384,3.907634421653113,4.517986970068926,4.402233280737954,3.9285377072177186,5.200267022696929,4.161820639361268
junin,131.14652210693507,138.29764718332217,133.69333738971707,100.0,100.0,100.0,38.35954629421819,43.48654273519348,51.66818781056688,27.079053225834297,23.75039683939469,27.416083561504916,22.52300467862507,15.758933295707077,11.249704222019403,10.850612019405071,5.658047902924265,3.9718757394449513,5.675685209354827,4.418077950174086,2.238174186038308,3.586519284724335,2.6673342195673566
la costa,130.4080414012739,150.44805985731685,138.84823794644623,100.0,100.0,100.0,36.28781847133758,40.17530885679485,45.20824269271843,31.198248407643312,29.032538715851747,30.69651544516078,15.710589171974524,12.393422655298417,8.85179765059526,7.790605095541402,5.770401948842874,4.829331962188031,3.591004002088046,3.749555036981371,2.742735340177484,3.907764110271724,3.9430732484076434
la matanza,131.70906475622039,138.7022862628453,133.4460294393863,100.0,100.0,100.0,22.305406900907762,24.079277274685037,28.779891653568217,45.10563141992354,44.23951685094398,46.88281582095159,19.165325346896473,12.700485120321451,8.938827762784582,6.646930578242621,3.8200693723409853,2.265661298773194,5.268814445865136,4.81108573801121,3.838161808487513,5.36999416748223,4.421379199613594
la plata,129.2486620158394,141.7047014435957,135.53849055973026,100.0,100.0,100.0,38.064160018285584,42.02411391581636,48.026103712830505,27.239436551222727,24.974709860366566,27.137641448837247,15.46614857520796,12.461865655592108,8.610977790831226,5.884698713444036,3.684262231532888,3.1588548942073733,6.598270446513678,5.4886566330222,5.012094129766959,6.6020998541038365,6.39411748972044
lanus,133.65061649472156,138.8493951217774,132.45517733857002,100.0,100.0,100.0,33.64531863117334,35.26288595506619,40.503735638896025,35.83086394026835,33.669713328700986,37.24426974015703,20.03369441216672,14.223813850731377,10.057694682011872,4.938315208753483,3.5922105225648973,2.0154764566322187,5.58946674506031,4.261531428418886,4.043330304488036,5.927970074846253,5.111731942232096
lomas de zamora,133.14845583140027,141.54108665835227,134.9702246509431,100.0,100.0,100.0,27.018870347628564,31.099603930478985,34.529079687455635,41.23704720396189,39.0162545509484,41.67051711275913,17.104245761328762,13.667508968589939,8.975970635078381,6.37064862305056,5.726270636643985,2.5067049388101736,4.805564524968377,4.618986528171068,4.256932697805176,5.675514518547964,4.842666837899086
lujan,130.06175104912958,136.58532620181757,132.21178964338495,100.0,100.0,100.0,41.8534888544941,40.730926175805955,49.81863235359974,27.01408945126135,27.260164848563672,26.36324282366288,19.08857366245951,14.38604477247972,10.953710199877595,8.87970512677315,6.161499569182747,4.717051544237286,5.421794475784819,5.397739994924692,2.7897449236721887,4.094579868937618,3.3237063394552506
malvinas argentinas,121.59140235597002,133.91839374657948,125.43382704252271,100.0,100.0,100.0,16.67589695999042,26.310581393420417,29.89010989010989,38.64948335304126,40.94519964841094,44.05303392259914,30.199025081451104,16.328990065950588,11.35164835164835,8.836633786865043,5.074823238046801,3.822742474916388,4.148861481649373,3.677018633540373,4.558495906419817,5.838509316770186,4.185064886467392
marcos paz,127.88136653735451,137.80135630617477,133.4662567349548,100.0,100.0,100.0,20.72644224752847,24.523832700606768,31.454141426440597,41.10249030158929,37.09075570265096,41.797814373991656,24.859216618696035,15.042668483727569,11.990502572220024,9.138405706419721,5.399266686135176,4.267754406258561,11.51562347902268,7.037837508751636,3.351828417534638,4.438221058719673,3.2880740833437616
mercedes,119.72276040225114,133.52570959476603,126.91872791519434,100.0,100.0,100.0,36.39404004059415,44.41155252618224,51.036513545347475,32.90202048159424,26.1648299708948,27.62073027090695,17.801457699049728,14.234184929973381,9.686690223792697,6.785681335916598,3.9752232642603054,2.822143698468787,6.520062688126569,5.074204946996466,3.26127515609841,4.054181389870435,3.275209890211274
merlo,127.98494053221528,138.14746409894582,133.59301159035996,100.0,100.0,100.0,19.37571660819714,21.876124069616225,27.62299233223333,44.85462479678275,44.89257353144628,47.234668498930645,21.933430307178917,15.26797819650812,10.85777696057084,7.941131171387012,4.400473146841537,2.819041351746296,5.0908248249910075,5.096145471437005,3.8885891369912287,5.720018451672424,4.077008642080945
moreno,128.73497747884224,142.42443606620233,132.8449143626965,100.0,100.0,100.0,19.55725221676867,23.4098025432935,29.149227637046177,42.69526752711628,40.40172960998573,43.12063393553172,23.383627219293462,15.81442903699917,11.597553868626399,9.256094851441151,6.127761092295567,4.111952893806716,7.79176518201376,6.156955050822315,3.516305621232454,5.320638476617194,3.8796986406511946
moron,128.38719080732142,135.14669594156888,130.44218718650995,100.0,100.0,100.0,36.670569041473314,40.4102442377399,46.085077990490895,29.50195353823152,28.409512365184625,30.340004012672576,18.64347809733369,14.732396734265976,10.26217682821562,4.714350865810025,2.226277191785225,1.5565436891391884,5.280361584602984,4.430270482127276,4.4604665193031385,6.554187410473075,4.872326520633219
necochea,132.94825712613894,145.1201254723034,137.82470751536783,100.0,100.0,100.0,44.46041962718382,49.39937263848292,55.472932778108266,22.42748474462927,21.91666072574321,21.76779694626215,19.08551366714035,15.545020317958224,12.467777116795558,8.308952603861908,4.742639195836601,5.178795690395929,3.2829543024167678,2.814131799854584,2.3846866756968703,3.331350386674598,2.6498369974086766
olavarria,125.45243525553651,138.58651624711214,129.98151318041766,100.0,100.0,100.0,34.36078759497429,37.34135437606889,45.73776104073947,26.187937758944113,26.616460139818177,26.332078055460457,21.88558550047909,20.794203246422036,14.87435809654228,12.190447914276845,6.29031774130637,3.389250256761383,4.796123496054487,4.71345429647381,2.8713732785262085,3.889079082505991,3.715299801616756
pergamino,131.48991244765892,140.73986125481284,131.98919971671387,100.0,100.0,100.0,45.20746098210887,49.81087911528741,56.17770302171861,27.221926151503617,22.426514239191274,23.040604343720492,17.51655881233346,11.7712909408552,9.662712464589235,9.510468214693567,5.960276133453195,3.0512275731822474,6.769340366707939,4.712582625118036,2.3678273996302392,3.577962700661001,3.0696612105062813
pilar,123.92678068548663,140.8798058563386,132.24992457280783,100.0,100.0,100.0,33.748311468278494,33.64869359547655,40.90073781507995,34.61146598896445,34.70995479014992,34.221454236265394,16.0427685051629,13.962082855981375,9.837351545571737,8.880532087826545,5.370363526614681,3.9726816423928244,5.338950688002759,4.170163745577224,2.92755337102874,4.227214130941605,3.27117247063672
presidente peron,120.76392702422356,136.3429052184117,129.6392725827288,100.0,100.0,100.0,15.252099985762808,18.0264352292603,23.69074828579946,39.359733154351495,37.54289636238847,42.10076517936997,25.199829153700655,19.762215777005334,15.671270992745704,11.585006203347774,8.83831115637523,5.966411606876677,6.356410653795913,5.960449170227566,3.6597515885491623,5.036271489615423,3.689466512091443
quilmes,131.9405302727227,142.58124986376615,134.5328604238084,100.0,100.0,100.0,32.36222362490332,33.90089649653266,39.4144067700732,37.051821164087016,36.307331093389465,39.27100657321612,17.825804788279118,13.431255624511504,8.907216961386597,7.2221283808812595,4.397161353806296,2.5452827840568397,5.893709577472683,4.672809965040899,4.167354323205839,5.709420855536322,4.567505015572724
san fernando,129.91023266228348,140.05828659408337,131.25853791811403,100.0,100.0,100.0,26.97396543652167,31.542945122621795,36.639865735139146,26.95361003114377,25.91114043769933,27.95558331056555,32.264335294237384,28.062245683492797,20.221693142344172,8.027154110774116,5.508633014406686,5.526716365481441,4.212031232816452,3.46980992154873,3.6060706037611348,4.757815854182116,3.9021312109430664
san isidro,129.51236551627775,139.2296395588366,131.9643352120484,100.0,100.0,100.0,51.127101672022725,54.77532796499078,58.97024854476578,18.935308089981838,18.272405602262985,19.6775385752564,15.233570863024545,12.443450063572477,8.439896516677447,4.56150156024405,3.422071969958308,2.476670054513536,3.701495185247243,3.2320059133327175,3.6477789057648904,5.120576549939942,4.092962600717247
san miguel,124.06570749349346,134.96428364016492,129.6828239962523,100.0,100.0,100.0,27.211374877474455,37.89592891573262,42.840530188211304,33.11062789413793,33.70695162320692,34.136515197442755,22.336266435323413,11.919391369998257,8.712833089917055,8.55763489076918,4.614089087635751,3.203174515693461,3.8318136941750387,4.057427870704621,3.7830303734247055,5.439113781035576,4.350079430354789
san nicolas,126.60160504139483,138.20936354127153,130.0257610009989,100.0,100.0,100.0,29.34434376222549,38.458797429796434,44.27001734924557,34.133034458695036,30.82749979884364,32.19494243204879,22.561510726709454,16.41435911583158,12.1276483886231,9.580553411505969,6.305964573491039,5.492876294621734,5.817441980757957,4.873560801219705,2.638022000758647,3.84206929183534,3.702803007073601
san pedro,129.51223609788877,140.49015622277716,133.05376461588898,100.0,100.0,100.0,45.11676093408747,47.66536964980545,57.3216041962627,25.609004872038977,21.421104593762706,24.882526499836082,15.999327994623957,16.040420465764562,9.217571850071032,13.370106960855688,6.9661420523839945,6.518413288165228,5.447470817120623,3.7864714238881,1.9861780591207387,2.9149819691836956,2.388419107352859
san vicente,126.59180908711963,141.6129417382999,136.15323619783922,100.0,100.0,100.0,29.965610671112962,27.217645654250237,35.09763108335811,32.68288870362651,32.55432187201528,34.49301219149569,23.01479783243018,18.424665711556827,13.93101397561701,10.467903293038766,9.5182664756447,9.592130042620676,5.879894937917861,5.510952522549311,2.2146609360076406,3.4195658638120725,2.9048561900791996
tandil,126.73358122707401,136.95464419377635,130.98449007462324,100.0,100.0,100.0,40.07713180242199,45.21971263314926,51.714383260986196,27.30892919953771,24.36206129445942,25.101204701750962,15.411285865031907,14.584260252820016,11.077647173584355,10.189186473041556,4.41649873066555,4.433497536945813,4.505483001387107,3.506803882358679,2.4405244837603703,3.5506998975759645,3.6493141048188535
tigre,122.35613468224493,133.98540837680258,128.7920148716317,100.0,100.0,100.0,23.706599023464793,29.235014631107447,34.811843713888564,25.61901575753469,25.47260451261083,27.674967761384,34.47982349528459,28.24527614844322,22.359782954564487,6.30131997408328,4.2033175542579375,3.1853427341695837,3.447852276266896,3.3837986300681617,3.9822057655776324,5.379243355495637,4.719637843491812
tres arroyos,134.12662294204256,141.8573760965216,136.79548252421986,100.0,100.0,100.0,34.236380671931464,38.13819630849268,44.72515120697961,28.617320305180026,25.21792069070482,26.197612803083015,20.867353767902557,19.326452112792982,17.157308783385965,13.968678891714632,9.884605805683925,7.362307980517048,3.0052300965769154,2.6628485789220147,3.13252345241719,3.6289675105711074,3.303439967875786
tres de febrero,132.10681110309363,138.72195434926314,134.53965187244955,100.0,100.0,100.0,34.87482074842669,37.45236613912976,43.98044490989852,31.348245846387112,28.742174437142747,31.473673756816297,21.40332289031174,15.593770657541702,10.744917121086274,4.77517057442708,2.9537854337597698,2.091383481997761,6.523408640199089,5.090552887219674,4.431893300151651,6.008721245169911,4.919941908789492
vicente lopez,130.6545144325778,136.66722046851635,132.58114657656975,100.0,100.0,100.0,49.88661274472749,54.11713482019581,59.05268725510303,18.488601881148558,17.48657985345257,18.73414578858173,14.441216807230866,11.814885047922957,8.515668008765017,3.1726833903869203,2.20852358336532,1.2742738096523138,3.8137850828697633,3.449876404615667,4.228563571678191,6.684405392860612,5.122404241763226
zarate,124.500006968544,130.28221549722008,134.10442175429677,100.0,100.0,100.0,25.957826371757886,31.6756985009501,40.393170359700036,38.332566793494166,37.27355901189387,40.189806380544844,20.738386921436636,15.249489760011262,11.937748026380827,10.536438516536355,4.874375395875854,4.892033498566566,3.317615595749173,3.6746741233459024,2.8306003237384756,4.091287830642997,3.1483881757745538
